id,price,city,state,mileage,vin,msrp,make,model,year,depreciation,latitude,longitude
0,16988,Scottsdale, AZ,47760,WBA3C1C5XEK113707,37100,BMW,328i,2014,54.21,33.51,-111.9
1,18296,Phoenix, AZ,38500,WBA3B1C54EP679898,32550,BMW,320i,2014,43.79,33.45,-112.08
2,14998,Phoenix, AZ,76117,WBA3C1C58EK111325,37100,BMW,328i,2014,59.57,33.45,-112.08
3,18691,Tucson, AZ,63102,WBA3A5C52EP603316,37100,BMW,328i,2014,49.62,32.22,-110.93
4,18500,Scottsdale, AZ,36057,WBA3B1C5XEK132101,32550,BMW,320i,2014,43.16,33.51,-111.9
5,18551,Chandler, AZ,61215,WBA3B1C51EK134531,32550,BMW,320i,2014,43.01,33.31,-111.84
6,17877,Merriam, KS,61504,WBA3C3G58ENS70804,34550,BMW,320i,2014,48.26,39.02,-94.69
7,17995,Raleigh, NC,44719,WBA3B5C55EP539821,39100,BMW,328i,2014,53.98,35.78,-78.64
8,15500,Scottsdale, AZ,20423,WBY1Z2C58EV286055,41350,BMW,i3,2014,62.52,33.51,-111.9
9,19555,Chandler, AZ,33060,WBAVM1C59EVW50587,30900,BMW,X1,2014,36.72,33.31,-111.84
10,20741,Chandler, AZ,39467,WBA3B1G59ENS80247,32550,BMW,320i,2014,36.28,33.31,-111.84
11,16955,Chandler, AZ,29514,WBY1Z2C50EVX51394,41350,BMW,i3,2014,59.0,33.31,-111.84
12,18750,Scottsdale, AZ,48399,WBA3B1C51EPV79886,32550,BMW,320i,2014,42.4,33.51,-111.9
13,18900,Greensboro, NC,20777,WBAVM1C52EVW50026,30900,BMW,X1,2014,38.83,36.07,-79.79
14,18498,Winston-Salem, NC,67070,WBA3D5C55EKX98106,40600,BMW,328d,2014,54.44,36.1,-80.24
15,17547,Phoenix, AZ,11280,WBY1Z2C51EV285538,41350,BMW,i3,2014,57.56,33.45,-112.08
16,21500,Scottsdale, AZ,11192,WBA3B1G51ENS78279,32550,BMW,320i,2014,33.95,33.51,-111.9
17,19498,Charlotte, NC,35745,WBA3A5C52EP602571,37100,BMW,328i,2014,47.44,35.23,-80.84
18,19981,Scottsdale, AZ,36648,WBA3B1C52EK130911,32550,BMW,320i,2014,38.61,33.51,-111.9
19,27000,Kansas City, KS,59021,WBA5B3C50ED292576,57400,BMW,535i,2014,52.96,39.08,-94.56
20,30990,Wilmington, NC,21872,5UXWX9C54E0D27639,39800,BMW,X3,2014,22.14,39.75,-75.55
21,30870,Chapel Hill, NC,30655,WBA5A7C50ED616183,51800,BMW,528i,2014,40.41,35.91,-79.06
22,27551,Charlotte, NC,49115,5UXWX9C58E0D25859,39800,BMW,X3,2014,30.78,35.23,-80.84
23,30875,Chapel Hill, NC,32920,WBA5A5C59ED501179,49500,BMW,528i,2014,37.63,35.91,-79.06
24,30881,Charlotte, NC,26084,WBA5A5C53ED512243,49500,BMW,528i,2014,37.61,35.23,-80.84
25,28981,Charlotte, NC,40170,WBA5B1C58ED482274,55100,BMW,535i,2014,47.4,35.23,-80.84
26,29998,Tempe, AZ,28443,WBA5A5C59ED506527,49500,BMW,528i,2014,39.4,33.41,-111.91
27,27974,Charlotte, NC,53253,WBA5B1C50ED479885,55100,BMW,535i,2014,49.23,35.23,-80.84
28,28445,Chapel Hill, NC,64201,WBA5B1C50ED479062,55100,BMW,535i,2014,48.38,35.91,-79.06
29,27995,Charlotte, NC,38974,5UXWX9C58E0D29958,39800,BMW,X3,2014,29.66,35.23,-80.84
30,30551,Charlotte, NC,32311,WBA5A5C5XED511641,49500,BMW,528i,2014,38.28,35.23,-80.84
31,27911,Charlotte, NC,49574,5UXWX9C51E0D35925,39800,BMW,X3,2014,29.87,35.23,-80.84
32,30989,Charlotte, NC,26289,WBA5A5C57ED508437,49500,BMW,528i,2014,37.4,35.23,-80.84
33,29500,Scottsdale, AZ,36258,WBA5A5C57ED510091,49500,BMW,528i,2014,40.4,33.51,-111.9
34,28998,Tempe, AZ,43805,WBA5B1C58ED482761,55100,BMW,535i,2014,47.37,33.41,-111.91
35,30730,Phoenix, AZ,32454,WBA5A5C59ED511355,49500,BMW,528i,2014,37.92,33.45,-112.08
36,26500,Greensboro, NC,73969,WBAXA5C52ED689388,56600,BMW,535d,2014,53.18,36.07,-79.79
37,21480,North Scottsdale, AZ,45950,WBA3X5C57ED243427,41450,BMW,328i,2014,48.18,,
38,29998,Tempe, AZ,32344,WBA5A5C53ED510539,49500,BMW,528i,2014,39.4,33.41,-111.91
39,27787,Tempe, AZ,46492,5UXWX7C58E0E81596,44900,BMW,X3,2014,38.11,33.41,-111.91
40,25000,Charlotte, NC,12990,WBA3N3C59EK230622,40500,BMW,428i,2014,38.27,35.23,-80.84
41,24277,Tempe, AZ,21821,WBA3N7C5XEK220236,40500,BMW,428i,2014,40.06,33.41,-111.91
42,25777,Merriam, KS,20381,WBA3N7C51EK220464,40500,BMW,428i,2014,36.35,39.02,-94.69
43,31331,Charlotte, NC,28785,WBA5A5C51ED511558,49500,BMW,528i,2014,36.71,35.23,-80.84
44,28990,Morrisville, NC,33037,5UXWX9C55E0D29724,39800,BMW,X3,2014,27.16,35.82,-78.83
45,34472,Charlotte, NC,29955,WBA3A9G57ENS64744,43200,BMW,335i,2014,20.2,35.23,-80.84
46,32991,Charlotte, NC,9549,WBA5A5C52ED511892,49500,BMW,528i,2014,33.35,35.23,-80.84
47,23997,Jacksonville, NC,36261,WBA1F5C54EV255913,32100,BMW,228i,2014,25.24,30.33,-81.66
48,29986,Cary, NC,48807,WBA5B1C53ED481355,55100,BMW,535i,2014,45.58,35.79,-78.78
49,31998,Phoenix, AZ,27060,WBA5B1C58ED480251,55100,BMW,535i,2014,41.93,33.45,-112.08
50,24649,Charlotte, NC,27477,WBA3N7C53EK220126,40500,BMW,428i,2014,39.14,35.23,-80.84
51,25477,Merriam, KS,33900,WBA3N9C57EK245915,42500,BMW,428i,2014,40.05,39.02,-94.69
52,23219,Charlotte, NC,44974,WBA3N9C51EF721620,42500,BMW,428i,2014,45.37,35.23,-80.84
53,30500,Scottsdale, AZ,47641,WBAKN9C59ED681357,63900,BMW,550i,2014,52.27,33.51,-111.9
54,25995,Kinston, NC,31204,WBAVL1C54EVY23788,32600,BMW,X1,2014,20.26,35.26,-77.58
55,23800,Greensboro, NC,42022,WBA3N3C57EF711221,40500,BMW,428i,2014,41.23,36.07,-79.79
56,36685,Wilmington, NC,38725,WBA3A9C55EF478700,43200,BMW,335i,2014,15.08,39.75,-75.55
57,25495,Charlotte, NC,23170,WBA3N9C59EK244796,42500,BMW,428i,2014,40.01,35.23,-80.84
58,22236,Apex, NC,62723,WBA3N3C52EF711336,40500,BMW,428i,2014,45.1,35.73,-78.85
59,24947,Tempe, AZ,28561,WBA1F5C53EVW97937,32100,BMW,228i,2014,22.28,33.41,-111.91
60,24998,Tempe, AZ,30348,WBA3N7C54EK220460,40500,BMW,428i,2014,38.28,33.41,-111.91
61,31480,Raleigh, NC,44420,WBA5B3C55ED534410,57400,BMW,535i,2014,45.16,35.78,-78.64
62,31998,Tempe, AZ,30495,WBAXA5C59ED689078,56600,BMW,535d,2014,43.47,33.41,-111.91
63,33653,Tucson, AZ,36074,WBA5B3C54ED536133,57400,BMW,535i,2014,41.37,32.22,-110.93
64,31911,Charlotte, NC,42298,WBA5B1C55ED483348,55100,BMW,535i,2014,42.09,35.23,-80.84
65,25998,Tempe, AZ,22189,WBA3N9C51EK245036,42500,BMW,428i,2014,38.83,33.41,-111.91
66,31495,Charlotte, NC,38633,WBA5B1C51ED481161,55100,BMW,535i,2014,42.84,35.23,-80.84
67,45988,Peoria, AZ,28735,WBALW7C59EDX59061,82900,BMW,640i,2014,44.53,40.69,-89.59
68,37495,Raleigh, NC,42130,WBAFV3C50ED685408,58900,BMW,535d,2014,36.34,35.78,-78.64
69,49690,Chapel Hill, NC,20310,WBAYE8C55ED780374,91000,BMW,750Li / ALPINA B7,2014,45.4,35.91,-79.06
70,48869,Raleigh, NC,22049,WBAYM9C52ED248198,86700,BMW,650i,2014,43.63,35.78,-78.64
71,47750,Mooresville, NC,34545,WBAYE8C58ED135914,91000,BMW,750Li / ALPINA B7,2014,47.53,39.61,-86.37
72,47000,Scottsdale, AZ,44724,WBAYE8C54EDS16070,91000,BMW,750Li / ALPINA B7,2014,48.35,33.51,-111.9
73,47000,Scottsdale, AZ,34562,WBAYP9C5XED169496,94200,BMW,650i,2014,50.11,33.51,-111.9
74,51911,Charlotte, NC,16692,WBA6B2C59ED129486,88900,BMW,650i,2014,41.61,35.23,-80.84
75,49988,Peoria, AZ,33996,WBAYP9C55ED169468,94200,BMW,650i,2014,46.93,40.69,-89.59
76,51500,Scottsdale, AZ,16968,WBAYP9C54ED169087,94200,BMW,650i,2014,45.33,33.51,-111.9
77,54788,Wilmington, NC,9091,5UXFG8C56EL593198,71400,BMW,X6,2014,23.27,39.75,-75.55
78,36995,Kinston, NC,7541,WBA5A5C59ED509282,49500,BMW,528i,2014,25.26,35.26,-77.58
79,56889,Chapel Hill, NC,15256,WBAYP9C55ED168952,94200,BMW,650i,2014,39.61,35.91,-79.06
80,12855,Surprise, AZ,16985,1G11C5SL4EF303411,23510,CHEVROLET,Malibu,2014,45.32,33.63,-112.37
81,11500,Indian Trail, NC,30803,1G11B5SL8EU123072,22140,CHEVROLET,Malibu,2014,48.06,35.08,-80.67
82,12789,Kannapolis, NC,16276,1G11B5SL2EF183935,22140,CHEVROLET,Malibu,2014,42.24,35.49,-80.62
83,11750,Kansas City, KS,40373,1G11B5SL3EF234438,22140,CHEVROLET,Malibu,2014,46.93,39.08,-94.56
84,14500,Safford, AZ,1779,1G11B5SL5EF235087,22140,CHEVROLET,Malibu,2014,34.51,32.83,-109.71
85,9250,Forest City, NC,27301,1G1PA5SH6E7483559,18355,CHEVROLET,Cruze,2014,49.61,43.26,-93.64
86,12789,Kannapolis, NC,22765,1G11B5SL4EF151892,22140,CHEVROLET,Malibu,2014,42.24,35.49,-80.62
87,9777,Scottsdale, AZ,22995,1G1PA5SG1E7425365,18355,CHEVROLET,Cruze,2014,46.73,33.51,-111.9
88,14000,Junction City, KS,27158,1G11C5SL6EF237993,23510,CHEVROLET,Malibu,2014,40.45,39.03,-96.83
89,10995,Cornelius, NC,62853,1G11C5SL4EF266960,23510,CHEVROLET,Malibu,2014,53.23,45.52,-123.06
90,11416,Durham, NC,59600,1G11B5SLXEF242827,22140,CHEVROLET,Malibu,2014,48.44,36.0,-78.9
91,10500,Greensboro, NC,11746,1G1PA5SG9E7349474,18355,CHEVROLET,Cruze,2014,42.79,36.07,-79.79
92,10132,Overland Park, KS,40414,1G1PA5SH1E7193441,18355,CHEVROLET,Cruze,2014,44.8,38.98,-94.67
93,11999,Tucson, AZ,33264,1G11A5SL6EF294345,0,CHEVROLET,Malibu,2014,-inf,32.22,-110.93
94,13987,Winston Salem, NC,23405,1G11C5SLXEF301954,23510,CHEVROLET,Malibu,2014,40.51,,
95,10795,Avondale, AZ,44318,1G11B5SL9EF158983,22140,CHEVROLET,Malibu,2014,51.24,33.44,-112.34
96,13995,Emporia, KS,21799,1G11B5SLXEF190065,22140,CHEVROLET,Malibu,2014,36.79,38.4,-96.18
97,11255,Surprise, AZ,59545,1G11B5SL1EF144690,22140,CHEVROLET,Malibu,2014,49.16,33.63,-112.37
98,10995,Graham, NC,43905,1G11B5SL1EF214639,22140,CHEVROLET,Malibu,2014,50.34,47.04,-122.28
99,9500,Merriam, KS,61726,1G1PC5SB3E7458785,19810,CHEVROLET,Cruze,2014,52.04,39.02,-94.69
100,9000,Kernersville, NC,74514,1G1PC5SB3E7300222,19810,CHEVROLET,Cruze,2014,54.57,36.12,-80.07
101,11995,Topeka, KS,36619,1G1PA5SH9E7195471,18355,CHEVROLET,Cruze,2014,34.65,39.05,-95.68
102,11995,Charlotte, NC,32408,1G1PG5SB3E7381713,23705,CHEVROLET,Cruze,2014,49.4,35.23,-80.84
103,11994,Merriam, KS,73778,1G11C5SL4EF280843,23510,CHEVROLET,Malibu,2014,48.98,39.02,-94.69
104,11495,Scottsdale, AZ,83255,1G11E5SL1EF205740,25215,CHEVROLET,Malibu,2014,54.41,33.51,-111.9
105,10998,Charlotte, NC,46475,1G1PA5SH2E7411810,18355,CHEVROLET,Cruze,2014,40.08,35.23,-80.84
106,13688,Lexington, NC,50877,1G11C5SL0EF201135,23510,CHEVROLET,Malibu,2014,41.78,38.05,-84.5
107,10995,Raleigh, NC,45795,1G1PE5SB1E7225319,22480,CHEVROLET,Cruze,2014,51.09,35.78,-78.64
108,15988,Topeka, KS,33475,2GNALAEK3E6238099,24360,CHEVROLET,Equinox,2014,34.37,39.05,-95.68
109,11435,Greenville, NC,47286,1G1PK5SB0E7377827,19835,CHEVROLET,Cruze,2014,42.35,34.85,-82.4
110,12598,Knightdale, NC,64586,1G11C5SL2EF201122,23510,CHEVROLET,Malibu,2014,46.41,35.79,-78.48
111,11995,Charlotte, NC,34284,1G1PE5SB6E7308888,22480,CHEVROLET,Cruze,2014,46.64,35.23,-80.84
112,8800,Charlotte, NC,76160,1G1PA5SH0E7402653,18355,CHEVROLET,Cruze,2014,52.06,35.23,-80.84
113,10855,Lawrence, KS,10685,KL8CL6S05EC400509,27010,CHEVROLET,Spark,2014,59.81,38.97,-95.24
114,10700,Morganton, NC,63944,1G1PC5SB5E7126654,19810,CHEVROLET,Cruze,2014,45.99,35.75,-81.69
115,13333,Phoenix, AZ,28312,1G1P75SZ4E7274702,24885,CHEVROLET,Cruze,2014,46.42,33.45,-112.08
116,11749,Lawrence, KS,48683,1G1PC5SB2E7422327,19810,CHEVROLET,Cruze,2014,40.69,38.97,-95.24
117,12995,Graham, NC,18975,1G1PA5SH0E7325993,18355,CHEVROLET,Cruze,2014,29.2,47.04,-122.28
118,14887,Hickory, NC,35917,2GNALAEK7E6316187,24360,CHEVROLET,Equinox,2014,38.89,35.73,-81.34
119,9742,Glendale, AZ,67801,1G1PC5SB8E7295387,19810,CHEVROLET,Cruze,2014,50.82,34.14,-118.25
120,12500,Kansas City, KS,46918,1G1PG5SB4E7302842,23705,CHEVROLET,Cruze,2014,47.27,39.08,-94.56
121,12500,Merriam, KS,31075,1G1PC5SB9E7335167,19810,CHEVROLET,Cruze,2014,36.9,39.02,-94.69
122,19300,Matthews, NC,3717,2G1FB1E38E9286375,25755,CHEVROLET,Camaro,2014,25.06,35.12,-80.72
123,16330,Winston Salem, NC,45529,2G1FE1E34E9204097,23455,CHEVROLET,Camaro,2014,30.38,,
124,17989,Chandler, AZ,25839,2G1FF1E38E9278989,25755,CHEVROLET,Camaro,2014,30.15,33.31,-111.84
125,16987,Tempe, AZ,30820,2G1FB1E36E9257408,25755,CHEVROLET,Camaro,2014,34.04,33.41,-111.91
126,10498,Greensboro, NC,29800,KL8CA6S92EC556656,12170,CHEVROLET,Spark,2014,13.74,36.07,-79.79
127,17000,Glendale, AZ,27096,2G11Y5SL9E9111833,26860,CHEVROLET,Impala,2014,36.71,34.14,-118.25
128,17411,Gilbert, AZ,39170,1GCNCPEH4EZ260067,23590,CHEVROLET,Silverado,2014,26.19,47.49,-92.47
129,17990,Abilene, KS,34285,1GCNCPEH7EZ277333,23590,CHEVROLET,Silverado,2014,23.74,32.45,-99.73
130,14222,Phoenix, AZ,30934,1G1RE6E42EU173499,0,CHEVROLET,Volt,2014,-inf,33.45,-112.08
131,18000,Phoenix, AZ,22500,2G1FA1E35E9318704,24655,CHEVROLET,Camaro,2014,26.99,33.45,-112.08
132,13000,Phoenix, AZ,46233,1G1RG6E45EU152611,0,CHEVROLET,Volt,2014,-inf,33.45,-112.08
133,10095,Winston Salem, NC,85841,1G1JA6SH7E4127473,16020,CHEVROLET,Sonic,2014,36.99,,
134,19330,Fayetteville, NC,27195,1GCNCPEH8EZ366862,23590,CHEVROLET,Silverado,2014,18.06,36.06,-94.16
135,14500,Kansas City, KS,57220,2G1FE1E32E9150766,23455,CHEVROLET,Camaro,2014,38.18,39.08,-94.56
136,6998,Raleigh, NC,58696,KL8CB6S92EC460426,13480,CHEVROLET,Spark,2014,48.09,35.78,-78.64
137,6500,Charlotte, NC,64842,KL8CB6S99EC526213,13480,CHEVROLET,Spark,2014,51.78,35.23,-80.84
138,15989,Harbinger, NC,47620,1GCNCPEH4EZ313687,23590,CHEVROLET,Silverado,2014,32.22,36.1,-75.81
139,15999,Sierra Vista, AZ,48688,2G11Y5SL0E9277917,26860,CHEVROLET,Impala,2014,40.44,31.55,-110.3
140,18222,Scottsdale, AZ,23545,2G1FA1E33E9307135,24655,CHEVROLET,Camaro,2014,26.09,33.51,-111.9
141,14995,Wilmington, NC,40719,1G1RA6E43EU146954,34185,CHEVROLET,Volt,2014,56.14,39.75,-75.55
142,8595,Henderson, NC,50810,KL8CB6S97EC472880,13480,CHEVROLET,Spark,2014,36.24,36.04,-114.98
143,17500,Mount Airy, NC,41481,2G1FA1E34E9204533,24655,CHEVROLET,Camaro,2014,29.02,39.38,-77.15
144,18058,Charlotte, NC,25774,2G1FA1E33E9222831,24655,CHEVROLET,Camaro,2014,26.76,35.23,-80.84
145,21500,Olathe, KS,44506,2G1155S35E9170127,35905,CHEVROLET,Impala,2014,40.12,38.88,-94.82
146,21789,Kannapolis, NC,51443,2G1155S39E9212931,35905,CHEVROLET,Impala,2014,39.31,35.49,-80.62
147,20990,Goldsboro, NC,68428,2G1155S36E9304613,35905,CHEVROLET,Impala,2014,41.54,35.38,-77.99
148,20444,Phoenix, AZ,46625,1GNKRGKD5EJ280059,34010,CHEVROLET,Traverse,2014,39.89,33.45,-112.08
149,12342,Lumberton, NC,51052,1G1PC5SB7E7204044,19810,CHEVROLET,Cruze,2014,37.7,30.27,-94.2
150,14995,Graham, NC,121145,2G1125S37E9162250,30085,CHEVROLET,Impala,2014,50.16,47.04,-122.28
151,15999,Greensboro, NC,102868,1GNKRGKD4EJ263687,34010,CHEVROLET,Traverse,2014,52.96,36.07,-79.79
152,19400,Kansas City, KS,7355,1G11H5SL7EF237339,27690,CHEVROLET,Malibu,2014,29.94,39.08,-94.56
153,23422,Raleigh, NC,44767,2G1FJ1EJXE9138259,32955,CHEVROLET,Camaro,2014,28.93,35.78,-78.64
154,13485,Apex, NC,46198,1G1PE5SB8E7397024,22480,CHEVROLET,Cruze,2014,40.01,35.73,-78.85
155,19495,Graham, NC,48034,1GNKRHKD7EJ336427,36865,CHEVROLET,Traverse,2014,47.12,47.04,-122.28
156,24000,Goodyear, AZ,48639,3GCPCPEH1EG299353,32200,CHEVROLET,Silverado,2014,25.47,33.44,-112.36
157,25995,DUNN, NC,14711,3GCPCPECXEG229287,32200,CHEVROLET,Silverado,2014,19.27,35.31,-78.61
158,12499,Hendersonville, NC,78386,1G11C5SL6EF192912,23510,CHEVROLET,Malibu,2014,46.84,36.3,-86.62
159,23777,Phoenix, AZ,40698,1GCRCREC1EZ282349,31800,CHEVROLET,Silverado,2014,25.23,33.45,-112.08
160,21400,Greensboro, NC,60992,1GCRCREH3EZ306260,31800,CHEVROLET,Silverado,2014,32.7,36.07,-79.79
161,16998,Southern Pines, NC,84110,1GNKVFKD3EJ312089,32795,CHEVROLET,Traverse,2014,48.17,35.17,-79.39
162,19995,Elizabeth City, NC,79448,2G1155S38E9305651,35905,CHEVROLET,Impala,2014,44.31,36.3,-76.22
163,12340,Safford, AZ,52354,1G1P75SZ5E7168615,24885,CHEVROLET,Cruze,2014,50.41,32.83,-109.71
164,24998,Merriam, KS,25601,2G1155S39E9153234,35905,CHEVROLET,Impala,2014,30.38,39.02,-94.69
165,25555,Lawrence, KS,17606,1GCNCREHXEZ170451,29145,CHEVROLET,Silverado,2014,12.32,38.97,-95.24
166,23997,Wallace, NC,32173,1G1155S30EU134218,35905,CHEVROLET,Impala,2014,33.17,47.47,-115.93
167,24265,Tucson, AZ,56679,1GCRCREH9EZ256576,31800,CHEVROLET,Silverado,2014,23.69,32.22,-110.93
168,14649,Durham, NC,50114,2GNALAEK5E6310498,24360,CHEVROLET,Equinox,2014,39.86,36.0,-78.9
169,10995,Leavenworth, KS,20403,1FADP3R41EL264375,35200,FORD,Focus,2014,68.76,47.6,-120.66
170,10999,Phoenix, AZ,10120,1FADP3R4XEL363289,35200,FORD,Focus,2014,68.75,33.45,-112.08
171,11593,Phoenix, AZ,16493,1FADP3R46EL300061,35200,FORD,Focus,2014,67.07,33.45,-112.08
172,11490,Phoenix, AZ,24839,1FADP3R45EL210190,35200,FORD,Focus,2014,67.36,33.45,-112.08
173,11650,Raleigh, NC,29294,1FADP3R42EL378112,35200,FORD,Focus,2014,66.9,35.78,-78.64
174,10994,Mesa, AZ,38673,1FADP3R48EL118362,35200,FORD,Focus,2014,68.77,33.41,-111.83
175,10999,Scottsdale, AZ,23400,1FADP3R48EL259786,35200,FORD,Focus,2014,68.75,33.51,-111.9
176,13476,Leavenworth, KS,15155,3FA6P0HD1ER228096,23855,FORD,Fusion,2014,43.51,47.6,-120.66
177,9749,Albermarle, NC,48942,3FA6P0G72ER208497,21900,FORD,Fusion,2014,55.48,,
